title,subtitle,url
遞歸神經網路,RNN part2-1,https://drive.google.com/open?id=1jnWECedSaRLB4V8qj8Ck-PK2isjA8an7wMTukt2QrlY
遞歸神經網路,RNN part1-2,https://drive.google.com/open?id=1ZihUTaET7a3iQXrmK8obcysC90Br-NhmUkNpBp7ALfs
遞歸神經網路,RNN part2-2,https://drive.google.com/open?id=1KeX6AhSEk50Br-KE6updiEu8iphM99OjR67XAI0meF4
應用分享,音訊應用分享,https://drive.google.com/open?id=1pkB0Npi2miUHPOYAtYIdiXY3f6dDT6kX
Kaggle 實戰,RNN_kaggle,https://drive.google.com/open?id=1VZu6qPNGpamMXzBES3i7Zjbk5Dv2hGhjhs0s6oDFJgI
自然語言處理,文字探勘簡介,https://drive.google.com/open?id=1C_LEE97oaXFCkjq1qMgx63ewzrn01tAJvJxOUvI3W_A
自然語言處理,Word Embedding,https://drive.google.com/open?id=1pRbJi-3bsJLfbBGI5se2tj0Q3YTtzFGPup99sie09C4
遞歸神經網路,總結與問答,https://drive.google.com/open?id=1cpk_CHNAClHJ2Dvwtx3LdmCZlqwfgncg
自然語言處理,詞向量應用,https://drive.google.com/open?id=1GbZzzZqbzg3h2nN4ZqsI1xNzgchqhWaJ0Uz3NBUGkUI
自然語言處理,文本特徵建模練習,https://drive.google.com/open?id=1ShLL9ybewkFXOr9Znu6qUesTtTQ8SKSj0XqO0xXlvcE
對抗式生成網路,GAN的概念介紹,https://drive.google.com/open?id=1NKqqNrCaPyvgM_3gMTXT4OUAIINQnFetGVR_IZuHFSs
對抗式生成網路,WGAN 原理與實作,https://drive.google.com/open?id=1mVfvVSHqNP0j72wOxZMc-FzJa2fiUNwJRPb55yrqB6M
對抗式生成網路,Vanilla GA,https://drive.google.com/open?id=1NKqqNrCaPyvgM_3gMTXT4OUAIINQnFetGVR_IZuHFSs
自然語言處理：總結與問答,總結與問答,https://drive.google.com/open?id=1Qz1OXyWWp8lk5wbDpLCReROmv7oJyc4I
對抗式生成網路,Conditional GAN原理理論說明,https://drive.google.com/open?id=1E3jQ2KLg9i4a0uC4E9WcyycxMfH0fmC8FUv-PsHpJog
對抗式生成網路,GAN 的補充教材(optional),https://drive.google.com/open?id=1Jr6QUGtsjxalXUN_9rOxKiZxgQOoADF5-xoK7jTlZ44
對抗式生成網路,Conditional GAN程式實作,https://drive.google.com/open?id=1E3jQ2KLg9i4a0uC4E9WcyycxMfH0fmC8FUv-PsHpJog
Python 爬蟲,,https://drive.google.com/open?id=1WXnpcD5rN7MStrXI-KzhkpfdsetRjuuddBNrqa2jo-Q
,,
生成對抗網路 總結與問答,總結與問答,https://drive.google.com/open?id=1o63byPZoaNUCEhQIg63wB6hMSCGwxpGD
專題實作,,
專題發表,,
